templateId,name,type,eventGuid,desc,parameters,score,node
0,灵光一闪,NormalEvent,,在阅读{0}时突然灵光一闪。,ItemKey,0,False
1,太吾死亡,LockedEvent,24b66f5e-cd47-486c-ad8f-6e069bd8dd71,{0}在{1}死亡。,Character|Location,0,False
2,地区崩溃,LockedEvent,84d406db-8da7-4128-b52b-92ede33eff20,遍地玄石撕裂了大地，{0}跌入玄石缝隙之中！,Character,0,False
3,太吾入魔,LockedEvent,24b66f5e-cd47-486c-ad8f-6e069bd8dd71,{0}在{1}入魔。,Character|Location,0,False
4,太吾入邪,SpecialEvent,ffdda15e-c734-4bd3-842f-cb1e0170f4ca,{0}在{1}入邪。,Character|Location,0,False
5,外道袭击,SpecialEvent,1e7e65eb-7889-49a8-a88c-0fb53b2bce08,在{0}被由{1}带领的一帮外道所袭击！,Location|CharacterTemplate,0,False
6,动物袭击,SpecialEvent,31f73af4-dfe0-4780-891b-af84e2112024,在{0}遭遇了{1}的袭击！,Location|CharacterTemplate,0,False
7,义士袭击,SpecialEvent,6839f74d-a797-4057-9d3c-54526c75b17c,在{0}被由{1}带领的一帮义士所袭击！,Location|CharacterTemplate,0,False
8,失心人袭击,SpecialEvent,35d08ee0-3f8b-4100-957a-b9a601ed400b,在{0}遭遇了堕入相枢魔道的{1}袭击！,Location|Character,0,False
9,爪牙袭击,SpecialEvent,b741c428-7bab-4856-b6cf-d55b2ad78d93,在{0}遭遇了已沦为相枢爪牙的{1}袭击！,Location|Character,0,False
10,促织入梦,NormalEvent,8556787a-6a5f-413e-a2f6-56ed2d4330f1,{0}在{1}梦见一只奇异的促织！,Character|Location,0,False
11,生下促织,NormalEvent,eea2f834-8d4d-456c-bd4e-eb41f9554011,{0}孕育的促织降生了！,Character,0,False
12,生下促织,NormalEvent,a5d13b65-9503-496d-bea2-4f89196ca6f7,{0}孕育的促织降生了！,Character,0,False
13,母亲胎教,NormalEvent,a73cc160-a95d-42c3-b986-a0353df434f0,{0}腹中的胎儿似乎正在不安…,Character,0,False
14,痛失骨肉,NormalEvent,b2d104a6-b1ea-4cbb-8043-54d8da07176c,{0}因身体不适，在{1}触动了胎气，以致痛失了腹中的胎儿。,Character|Location,0,False
15,痛失骨肉,NormalEvent,be5c842e-d69f-40e3-961d-b49ba7186fc2,{0}因身体不适，在{1}触动了胎气，以致痛失了腹中的胎儿。,Character|Location,0,False
16,难产双亡,LockedEvent,c6a8fff1-8d8e-4f14-91b8-3bf49bdd1a29,{0}在{1}生育时发生意外，以致香消玉殒，并痛失了腹中的胎儿。,Character|Location,0,False
17,难产双亡,NormalEvent,1f5bbc25-26db-46cc-bd85-54833cf2367a,{0}在{1}生育时发生意外，以致香消玉殒，并痛失了腹中的胎儿。,Character|Location,0,False
18,难产失子,NormalEvent,7c8b6585-2d4a-4ae6-a0f8-a2228486271c,{0}在{1}生育时发生意外，以致痛失了腹中的胎儿。,Character|Location,0,False
19,难产失子,NormalEvent,26c12b8e-2808-43d7-a00e-af970cb459bf,{0}在{1}生育时发生意外，以致痛失了腹中的胎儿。,Character|Location,0,False
